name,link,actual_price,old_price,id,brand
"Сыр Тысяча озёр Сливочный полутвердый нарезка 50%, 125г",/products/125g-50-slivochnyj-tysyacha-ozyor-nar-bzmzh,119,169,125g-50-slivochnyj-tysyacha-ozyor-nar-bzmzh,ТЫСЯЧА ОЗЁР
"Сыр Ламбер Гурмэ кусок 55%, 230г",/products/230g-syr-55-lamber-gurme-kusok-bzmzh,319,,230g-syr-55-lamber-gurme-kusok-bzmzh,ЛАМБЕР
"Сыр Маасдам Viola кусок 45%, 180г",/products/180g-syr-maasdam-45-viola-kusok-bzmzh,263,,180g-syr-maasdam-45-viola-kusok-bzmzh,VIOLA
"METRO Chef Сыр Чеддар красный полутвердый нарезка 50%, 1кг",/products/cheddar-krasnyj-narezka-50-metro-chef-1000-g,1289,,cheddar-krasnyj-narezka-50-metro-chef-1000-g,METRO CHEF
"Сыр Natura Тильзитер полутвердый 45%, 250г",/products/arla-natura-tilziter-250-g-bzmzh,269.01,319,arla-natura-tilziter-250-g-bzmzh,NATURA
"Сыр Тысяча озёр Легкий полутвердый 15%, 200г",/products/200g-syr-legkiy-15-tysyacha-ozyor-kusok-bzmzh,169,226,200g-syr-legkiy-15-tysyacha-ozyor-kusok-bzmzh,ТЫСЯЧА ОЗЁР
"METRO Chef Сыр российский сливочный 45%, ~3кг",/products/3kg-syr-rossiyskiy-45-metro-chef-slivochnyy-bzmzh,849,,3kg-syr-rossiyskiy-45-metro-chef-slivochnyy-bzmzh,METRO CHEF
"METRO Chef Сыр Маасдам 45%, ~1кг",/products/metro-chef-maasdam-45-bez-soderzhaniya-molochnogo-zhira-1-kg,1139,,metro-chef-maasdam-45-bez-soderzhaniya-molochnogo-zhira-1-kg,METRO CHEF
"aro Сыр российский 50%, 200г",/products/200g-syr-rossiyskiy-50-aro-bzmzh,144,,200g-syr-rossiyskiy-50-aro-bzmzh,ARO
"Сыр Брест-Литовск Классический полутвердый нарезка 45%, 150г",/products/brest-litovskoe-klassicheskij-45-narezka-150g-bzmzh,177,,brest-litovskoe-klassicheskij-45-narezka-150g-bzmzh,БРЕСТ-ЛИТОВСК
"METRO Chef Сыр тертый для макарон 45%, 500г",/products/500g-50-tyortyj-d-makaron-metro-chef-bzmzh,419,,500g-50-tyortyj-d-makaron-metro-chef-bzmzh,METRO CHEF
"METRO Chef Сыр российский сливочный 45%, ~1кг",/products/1kg-syr-rossiyskiy-45-metro-chef-slivochnyy-bzmzh,749,949,1kg-syr-rossiyskiy-45-metro-chef-slivochnyy-bzmzh,METRO CHEF
"Сыр Брест-Литовск Легкий полутвердый 35%, 200г",/products/legkij-brest-litovsk-35-200g,199,,legkij-brest-litovsk-35-200g,БРЕСТ-ЛИТОВСК
"METRO Chef Сыр Тильзитер полутвердый нарезка 45%, 1кг",/products/tilziter-45-narezka-metro-chef-1-kg,1069,,tilziter-45-narezka-metro-chef-1-kg,METRO CHEF
"Сыр Брест-Литовск Сливочный полутвердый 50%, 200г",/products/brest-litovsk-slivochnyj-50-200g,199,,brest-litovsk-slivochnyj-50-200g,БРЕСТ-ЛИТОВСК
"Сырный продукт Стародуб Тильзитер 45%, ~5.2кг",/products/produkt-syrnyy-starodub-tilziter-45-52kg,539,,produkt-syrnyy-starodub-tilziter-45-52kg,СТАРОДУБ
"Сыр Laplandia Сливочный полутвердый 45%, 300г",/products/300g-syr-45-laplandia-slivochnyy-kusok-bzmzh,449,,300g-syr-45-laplandia-slivochnyy-kusok-bzmzh,LAPLANDIA
"Сыр Natura Сливочный легкий полутвердый нарезка 16%, 150г",/products/150g-syr-legkiy-30-natura-narezka-bzmzh,239,,150g-syr-legkiy-30-natura-narezka-bzmzh,NATURA
"METRO Chef Сыр маасдам 45%, 200г",/products/200g-syr-maasdam-45-metro-chef-bzmzh,256,,200g-syr-maasdam-45-metro-chef-bzmzh,METRO CHEF
"METRO Chef Сыр Эдам 40%, ~2.5кг",/products/edam-40-metro-chef-vesovoj,789,,edam-40-metro-chef-vesovoj,METRO CHEF
"Сыр Hochland Грюнландер полутвердый 50%, 400г",/products/hochland-gryunlander-50-400g,409,,hochland-gryunlander-50-400g,HOCHLAND
"Сыр Брест-Литовск полутвердый 45%, 200г",/products/brest-litovsk-45-200g-bzmzh,199,,brest-litovsk-45-200g-bzmzh,БРЕСТ-ЛИТОВСК
"Сыр Радость вкуса Топленое молочко полутвердый 45%, 180г",/products/180g-syr-45-radost-vkusa-toplenoe-molochko-bzmzh,179,198,180g-syr-45-radost-vkusa-toplenoe-molochko-bzmzh,РАДОСТЬ ВКУСА
"Сыр Ламбер легкий полутвердый 30%, 230г",/products/230g-syr-30-lamber-legkiy-bzmzh,329,,230g-syr-30-lamber-legkiy-bzmzh,ЛАМБЕР
"Сыр Oldenburger Чеддер красный полутвердый 45%, ~3кг",/products/syr-chedder-oldenburger-krasnyy-45-3kg,679,879,syr-chedder-oldenburger-krasnyy-45-3kg,OLDENBURGER
"Сыр Радость вкуса легкий полутвердый 35%, 180г",/products/180g-syr-legkiy-35-radost-vkusa-bzmzh,169,193,180g-syr-legkiy-35-radost-vkusa-bzmzh,РАДОСТЬ ВКУСА
"Сыр Киприно Молочный полутвердый 50%, ~1кг",/products/molochnyj-kiprino-50-1kg-bzmzh,879,1029,molochnyj-kiprino-50-1kg-bzmzh,КИПРИНО
"Сыр Laplandia Сливочный тертый полутвердый 45%, 150г",/products/150g-syr-45-laplandia-slivochnyy-tertyy-bzmzh,219,,150g-syr-45-laplandia-slivochnyy-tertyy-bzmzh,LAPLANDIA
"Сыр Natura Сливочный полутвердый нарезка 45%, 150г",/products/150g-syr-slivochnyy-45-natura-narezka-bzmzh,211,,150g-syr-slivochnyy-45-natura-narezka-bzmzh,NATURA
"METRO Chef Сыр Эдам 40%, 500г",/products/500g-40-edam-metro-chef-kusok-bzmzh,529,,500g-40-edam-metro-chef-kusok-bzmzh,METRO CHEF
